Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
663a3aa0088f5084f24698e4,5efae44f5a33e693df274fea,APPROVED,Not Applicable,2024-05-07T14:28:56.788000Z,2024-05-07T14:41:43.911000Z,2024-05-08T13:23:04.921000Z,2024-05-07T14:41:44.481853Z,768,C1J0M9K6,925,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663a3aad8a8d4633b94740ba,60d0ead827bdcce9869be293,RETURNED,Not Applicable,2024-05-07T14:29:10.106000Z,,,2024-05-28T21:33:18.935961Z,,,272,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3aae92d43c875ddb17a1,640105daa923d3f5f2669039,RETURNED,Not Applicable,2024-05-07T14:29:18.296000Z,,,2024-05-28T20:33:14.535903Z,,,751,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3ab5e59ccd1acf4bbbf1,5d3b434d9fb7400001ed3e23,RETURNED,Not Applicable,2024-05-07T14:29:17.291000Z,,,2024-05-28T20:33:14.535947Z,,,485,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3ac68a8d4633b94740c9,5d5d408434988d000117b2c7,RETURNED,Not Applicable,2024-05-07T14:29:32.204000Z,,,2024-05-28T20:33:14.537748Z,,,653,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3ad71fd41c826cfa6b95,5c8d5260f756d400166838d9,APPROVED,Not Applicable,2024-05-07T14:29:50.204000Z,2024-05-07T15:33:16.096000Z,2024-05-08T13:23:05.152000Z,2024-05-07T15:33:17.126620Z,3806,C1J0M9K6,893,English,76,Female,White,United Kingdom,United Kingdom,United Kingdom,Scots,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663a3ae0f55c4147bc47c095,63d7a100223f6750c377fbe2,APPROVED,Not Applicable,2024-05-07T14:35:06.923000Z,2024-05-07T15:03:53.457000Z,2024-05-08T13:23:05.466000Z,2024-05-07T15:03:53.968301Z,1727,C1J0M9K6,583,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663a3afa00f37b9cc16b33a8,5aec383502d69a0001f1ff30,APPROVED,Not Applicable,2024-05-07T14:30:34.254000Z,2024-05-07T14:50:35.508000Z,2024-05-08T13:23:05.669000Z,2024-05-07T14:50:36.084339Z,1202,C1J0M9K6,1677,English,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663a3b3586fdbc04595b9db0,6149a2480ec7bd14c9fe92a5,APPROVED,Not Applicable,2024-05-07T14:32:17.455000Z,2024-05-07T14:46:52.345000Z,2024-05-08T13:23:05.877000Z,2024-05-07T14:47:35.906392Z,875,C1J0M9K6,386,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663a3b3c24b25ff68c1d3aad,5feca8231d6cb4e39a927614,APPROVED,Not Applicable,2024-05-07T14:31:24.830000Z,2024-05-07T15:05:14.894000Z,2024-05-08T13:23:06.074000Z,2024-05-07T15:05:15.448314Z,2031,C1J0M9K6,296,English,21,Female,Mixed,Spain,United Kingdom,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
663a3b731fd41c826cfa6bca,5d67a2bf6cd320001a36cb6b,APPROVED,Not Applicable,2024-05-07T14:32:25.339000Z,2024-05-07T14:52:33.334000Z,2024-05-08T13:23:06.255000Z,2024-05-07T14:52:33.908498Z,1208,C1J0M9K6,1709,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663a3b7ae59ccd1acf4bbc2c,6112937a54e78094098725fe,APPROVED,Not Applicable,2024-05-07T14:32:30.219000Z,2024-05-07T15:00:16.093000Z,2024-05-08T13:23:06.446000Z,2024-05-07T15:00:16.884305Z,1666,C1J0M9K6,709,"English, Urdu",21,Female,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,Yes,Part-Time
663a3b8824b25ff68c1d3acb,642afaa03f927312a91a4c87,RETURNED,Not Applicable,2024-05-07T14:32:47.059000Z,,,2024-05-28T20:33:14.583977Z,,,662,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3ba6edf4fdcf6c42a400,60b2785e793387fa22524fce,APPROVED,Not Applicable,2024-05-07T14:33:17.123000Z,2024-05-07T14:42:43.067000Z,2024-05-08T13:23:06.643000Z,2024-05-07T14:42:43.595968Z,566,C1J0M9K6,1182,"English, Polish",27,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
663a3baee7a3eb4a55785315,62e02c96140489fcd123e187,APPROVED,Not Applicable,2024-05-07T14:33:24.159000Z,2024-05-07T14:53:57.066000Z,2024-05-08T13:23:06.836000Z,2024-05-07T14:53:58.209894Z,1233,C1J0M9K6,602,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663a3bc58875f5a91d248e99,60fd350d588f4b72f733c1ef,RETURNED,Not Applicable,2024-05-07T14:33:49.388000Z,,,2024-05-28T20:33:14.541086Z,,,177,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663a3bc6f55c4147bc47c0f7,63e3ae9a69fe37cb356d7867,APPROVED,Not Applicable,2024-05-07T14:33:48.412000Z,2024-05-07T15:05:02.448000Z,2024-05-08T13:23:07.028000Z,2024-05-07T15:05:03.022386Z,1875,C1J0M9K6,355,English,76,Male,White,New Zealand,United Kingdom,New Zealand,English,No,DATA_EXPIRED
