file_id,format,rt,inputvalue,br,hr,far,brr,error,correctAnswer,n_trial,subject_id,id_source,subject
1,probability,53012,90,0.97,0.9,0.11,NA,-10,100,0,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,20770,72,0.4,0.72,0.42,NA,19,53,1,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,8082,80,0.97,0.72,0.11,NA,-20,100,2,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,20795,56,0.4,0.72,0.11,NA,-25,81,3,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,5034,92,0.97,0.9,0.31,NA,-7,99,4,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,7150,50,0.01,0.53,0.31,NA,48,2,5,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,6764,46,0.97,0.53,0.31,NA,-52,98,6,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,9615,75,0.97,0.53,0.11,NA,-24,99,7,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,12663,56,0.4,0.9,0.42,NA,-3,59,8,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,13668,66,0.97,0.53,0.42,NA,-32,98,9,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,4717,34,0.01,0.72,0.42,NA,32,2,10,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,7704,70,0.01,0.9,0.31,NA,67,3,11,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,6744,62,0.01,0.72,0.11,NA,56,6,12,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,4932,46,0.01,0.53,0.42,NA,45,1,13,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,8758,65,0.4,0.9,0.31,NA,-1,66,14,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,11331,65,0.97,0.72,0.31,NA,-34,99,15,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,5611,43,0.4,0.53,0.31,NA,-10,53,16,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,8279,80,0.97,0.72,0.42,NA,-18,98,17,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,5488,32,0.01,0.53,0.11,NA,27,5,18,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,10375,85,0.4,0.9,0.11,NA,0,85,19,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,6393,30,0.01,0.72,0.31,NA,28,2,20,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,7429,52,0.4,0.72,0.31,NA,-9,61,21,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,4076,45,0.4,0.53,0.42,NA,-1,46,22,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,2804,45,0.01,0.9,0.11,NA,37,8,23,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,5133,45,0.01,0.9,0.42,NA,43,2,24,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
1,probability,3759,46,0.4,0.53,0.11,NA,-30,76,25,563a7e0fbe9cac0011aab23b,subject_id_or_participant,1
