"subject","br","hr","far","true_posterior","response","presentation_format","format","condition","trial"
1,0.1,0.5,0.1,0.3571,0.14,"Symbolic","frequency","symbolic_natural",1
1,0.1,0.5,0.3,0.1562,0.2,"Symbolic","frequency","symbolic_natural",2
1,0.1,0.5,0.5,0.1,0.5,"Symbolic","frequency","symbolic_natural",3
1,0.1,0.7,0.1,0.4375,0.18,"Symbolic","frequency","symbolic_natural",4
1,0.1,0.7,0.3,0.2059,0.21,"Symbolic","frequency","symbolic_natural",5
1,0.1,0.7,0.5,0.1346,0.52,"Symbolic","frequency","symbolic_natural",6
1,0.1,0.9,0.1,0.5,0.18,"Symbolic","frequency","symbolic_natural",7
1,0.1,0.9,0.3,0.25,0.54,"Symbolic","frequency","symbolic_natural",8
1,0.1,0.9,0.5,0.1667,0.64,"Symbolic","frequency","symbolic_natural",9
1,0.3,0.5,0.1,0.6818,0.43,"Symbolic","frequency","symbolic_natural",10
1,0.3,0.5,0.3,0.4167,0.36,"Symbolic","frequency","symbolic_natural",11
1,0.3,0.5,0.5,0.3,0.5,"Symbolic","frequency","symbolic_natural",12
1,0.3,0.7,0.1,0.75,0.84,"Symbolic","frequency","symbolic_natural",13
1,0.3,0.7,0.3,0.5,0.42,"Symbolic","frequency","symbolic_natural",14
1,0.3,0.7,0.5,0.375,0.12,"Symbolic","frequency","symbolic_natural",15
1,0.3,0.9,0.1,0.7941,0.34,"Symbolic","frequency","symbolic_natural",16
1,0.3,0.9,0.3,0.5625,0.76,"Symbolic","frequency","symbolic_natural",17
1,0.3,0.9,0.5,0.4355,0.27,"Symbolic","frequency","symbolic_natural",18
1,0.5,0.5,0.1,0.8333,0.3,"Symbolic","frequency","symbolic_natural",19
1,0.5,0.5,0.3,0.625,0.6,"Symbolic","frequency","symbolic_natural",20
1,0.5,0.5,0.5,0.5,0.25,"Symbolic","frequency","symbolic_natural",21
1,0.5,0.7,0.1,0.875,0.45,"Symbolic","frequency","symbolic_natural",22
1,0.5,0.7,0.3,0.7,0.35,"Symbolic","frequency","symbolic_natural",23
1,0.5,0.7,0.5,0.5833,0.6,"Symbolic","frequency","symbolic_natural",24
1,0.5,0.9,0.1,0.9,0.5,"Symbolic","frequency","symbolic_natural",25
1,0.5,0.9,0.3,0.75,0.33,"Symbolic","frequency","symbolic_natural",26
1,0.5,0.9,0.5,0.6429,0.4,"Symbolic","frequency","symbolic_natural",27
1,0.7,0.5,0.1,0.9211,0.38,"Symbolic","frequency","symbolic_natural",28
1,0.7,0.5,0.3,0.7955,0.56,"Symbolic","frequency","symbolic_natural",29
1,0.7,0.5,0.5,0.7,0.5,"Symbolic","frequency","symbolic_natural",30
1,0.7,0.7,0.1,0.9423,0.55,"Symbolic","frequency","symbolic_natural",31
1,0.7,0.7,0.3,0.8448,0.28,"Symbolic","frequency","symbolic_natural",32
1,0.7,0.7,0.5,0.7656,0.64,"Symbolic","frequency","symbolic_natural",33
1,0.7,0.9,0.1,0.9545,0.66,"Symbolic","frequency","symbolic_natural",34
1,0.7,0.9,0.3,0.875,0.84,"Symbolic","frequency","symbolic_natural",35
1,0.7,0.9,0.5,0.8077,0.78,"Symbolic","frequency","symbolic_natural",36
1,0.9,0.5,0.1,0.9783,0.46,"Symbolic","frequency","symbolic_natural",37
1,0.9,0.5,0.3,0.9375,0.83,"Symbolic","frequency","symbolic_natural",38
1,0.9,0.5,0.5,0.9,0.5,"Symbolic","frequency","symbolic_natural",39
1,0.9,0.7,0.1,0.9844,0.64,"Symbolic","frequency","symbolic_natural",40
1,0.9,0.7,0.3,0.9545,0.7,"Symbolic","frequency","symbolic_natural",41
