"Id","Age","Gen","Job","Edu","Duration","Man","NF_N1","NF_N2","Prob","Sol_Time","Scr","response","Adv","BR","HR","FAR","true_posterior"
1,34,1,6,2,74,"Frequency",80,10000,NA,30.198,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
2,22,1,9,4,173,"Probability",NA,NA,75,133.49,0,0.75,46.22302158,0.01,0.8,0.02,0.287769784172662
4,37,1,2,2,160,"Probability",NA,NA,80,69.535,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
6,69,1,8,3,236,"Frequency",80,278,NA,175.967,1,0.29,0,0.01,0.8,0.02,0.287769784172662
7,58,1,8,2,118,"Probability",NA,NA,80,62.958,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
8,31,1,5,3,116,"Frequency",70,100,NA,83.042,0,0.7,41.22302158,0.01,0.8,0.02,0.287769784172662
10,22,2,9,3,79,"Probability",NA,NA,80,33.825,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
11,37,1,2,2,267,"Probability",NA,NA,80,209.68,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
12,48,2,2,3,212,"Frequency",1,3,NA,132.295,0,0.33,4.556354916,0.01,0.8,0.02,0.287769784172662
14,64,2,3,3,233,"Frequency",2,10,NA,173.369,0,0.2,8.776978417,0.01,0.8,0.02,0.287769784172662
15,46,2,2,5,143,"Frequency",2,5,NA,65.794,0,0.4,11.22302158,0.01,0.8,0.02,0.287769784172662
16,56,2,3,2,217,"Probability",NA,NA,1,64.579,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
17,66,2,8,2,196,"Frequency",278,10000,NA,123.101,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
18,23,1,6,2,225,"Probability",NA,NA,1,165.989,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
20,25,1,3,3,154,"Frequency",278,10000,NA,92.896,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
21,51,2,1,2,78,"Probability",NA,NA,98,38.523,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
22,64,2,1,2,126,"Frequency",1,100,NA,71.098,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
23,35,2,3,2,174,"Probability",NA,NA,1,92.62,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
24,52,2,1,3,132,"Probability",NA,NA,80,59.112,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
28,33,1,3,2,165,"Frequency",1,100,NA,80.149,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
29,23,2,3,3,144,"Frequency",278,10000,NA,91.302,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
30,46,1,2,2,136,"Probability",NA,NA,80,31.951,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
33,31,2,3,3,124,"Frequency",80,100,NA,56.28,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
34,49,2,10,3,268,"Probability",NA,NA,98,198.184,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
35,52,1,1,4,90,"Probability",NA,NA,98,48.629,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
36,29,2,3,3,137,"Frequency",80,100,NA,57.078,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
